Num_Floors,Tons_Cement,Labor_Required,Num_Bricks,Tons_Iron,Tons_Sand,Total_Cost,Days
8.0,28.00002,40.0,66941.0,15.999809,70.0,1979188,43.998653
1.0,5.0001597,5.0,34033.0,2.0000336,12.500143,487464,30.000017
7.0,24.50014,35.0,57437.0,14.00027,61.250187,1743260,37.99667
10.0,34.999863,50.0,47138.0,19.999825,87.4999,2223504,30.999945
9.0,31.499962,45.0,63503.0,18.000326,78.749954,2145035,41.992672
9.0,31.499962,45.0,58458.0,18.000326,78.749954,2128181,37.876484
6.0,20.999804,30.0,72395.0,11.99965,52.499847,1614987,47.997974
4.0,13.999876,20.0,48870.0,8.000013,34.999855,1059553,32.02755
7.0,24.50014,35.0,39254.0,14.00053,61.250187,1622002,30.00009
5.0,17.500185,25.0,40969.0,9.99998,43.750114,1229042,29.999924
1.0,5.0001597,5.0,56452.0,2.0000336,12.500143,597338,37.0033
5.0,17.500185,25.0,35155.0,9.99998,43.750114,1183620,29.999924
10.0,34.999863,50.0,19451.0,13.19859,87.4999,1737368,30.000046
3.0,10.500026,15.0,25948.0,6.010677,26.250023,740521,29.99986
7.0,24.50014,35.0,15945.0,10.263844,61.250187,1434327,30.00009
7.0,24.50014,35.0,68529.0,14.00027,61.250187,1795489,45.00276
9.0,31.499962,45.0,39691.0,18.000326,78.749954,2047911,30.000046
5.0,17.500185,25.0,18515.0,9.281508,43.750114,1099978,29.999924
2.0,7.000025,10.0,17453.0,3.9971917,17.500036,478912,30.000051
3.0,10.500026,15.0,32329.0,6.00029,26.250023,787940,29.99986
9.0,31.499962,45.0,52014.0,18.000326,78.749954,2076116,34.00113
2.0,7.000025,10.0,53544.0,3.9998257,17.500036,710116,34.961716
3.0,10.500026,15.0,35386.0,6.00029,26.250023,815295,29.99986
8.0,28.00002,40.0,24914.0,15.907222,70.0,1717871,30.000046
10.0,34.999863,50.0,60736.0,19.999825,87.4999,2317426,39.68261
7.0,24.50014,35.0,36513.0,14.00053,61.250187,1604971,30.00009
9.0,31.499962,45.0,22295.0,15.439319,78.749954,1780673,30.000046
7.0,24.50014,35.0,43795.0,14.00053,61.250187,1620361,30.00009
2.0,7.000025,10.0,6713.0,3.9998257,17.500036,784893,43.00422
2.0,7.000025,10.0,26057.0,4.0017896,17.500036,549677,30.000051
9.0,31.499962,45.0,15466.0,10.287464,78.749954,1476611,30.000046
10.0,34.999863,50.0,52056.0,19.999825,87.4999,2274090,34.00113
1.0,5.0001597,5.0,16519.0,2.0346315,12.500143,328636,30.000017
3.0,10.500026,15.0,42669.0,6.00029,26.250023,823278,29.981993
7.0,24.50014,35.0,39367.0,14.00053,61.250187,1624350,30.00009
4.0,13.999876,20.0,72878.0,8.000013,34.999855,1215772,48.000446
9.0,31.499962,45.0,27798.0,17.950527,78.749954,1939370,30.000046
5.0,17.500185,25.0,50335.0,9.999964,43.750114,1353723,33.14674
4.0,13.999876,20.0,43688.0,8.000013,34.999855,1034358,30.000063
4.0,13.999876,20.0,46796.0,8.000013,34.999855,1040060,31.242086
1.0,5.0001597,5.0,19669.0,1.8438319,12.500143,361389,30.000017
10.0,34.999863,50.0,22678.0,15.137386,87.4999,1854579,30.000046
7.0,24.50014,35.0,65872.0,14.00027,61.250187,1768988,43.630463
8.0,28.00002,40.0,29589.0,16.000137,70.0,1746987,30.000046
10.0,34.999863,50.0,64565.0,19.999825,87.4999,2349086,42.99987
7.0,24.50014,35.0,46637.0,14.00027,61.250187,1653961,30.988573
9.0,31.499962,45.0,15496.0,10.358848,78.749954,1476611,30.000046
5.0,17.500185,25.0,69125.0,9.999964,43.750114,1394811,45.253963
2.0,7.000025,10.0,23422.0,4.0032926,17.500036,520346,30.000051
1.0,5.0001597,5.0,19669.0,1.8438319,12.500143,361389,30.000017
5.0,17.500185,25.0,38828.0,9.99998,43.750114,1218852,29.999924
10.0,34.999863,50.0,25168.0,17.563644,87.4999,1878665,30.000046
7.0,24.50014,35.0,36048.0,14.00053,61.250187,1582734,30.00009
10.0,34.999863,50.0,47981.0,19.999825,87.4999,2227781,31.03315
8.0,28.00002,40.0,31966.0,15.999811,70.0,1763000,30.000046
5.0,17.500185,25.0,63693.0,9.999964,43.750114,1365355,41.938465
9.0,31.499962,45.0,15496.0,10.358848,78.749954,1476611,30.000046
6.0,20.999804,30.0,28978.0,12.007971,52.499847,1376092,30.00009
4.0,13.999876,20.0,12549.0,7.0768113,34.999855,863892,30.000063
2.0,7.000025,10.0,26057.0,4.0017896,17.500036,549677,30.000051
5.0,17.500185,25.0,55208.0,9.999964,43.750114,1314279,36.02829
7.0,24.50014,35.0,57437.0,14.00027,61.250187,1743260,37.99667
3.0,10.500026,15.0,59102.0,6.00029,26.250023,766933,38.999405
10.0,34.999863,50.0,26704.0,19.204689,87.4999,2069667,30.000046
6.0,20.999804,30.0,45505.0,11.99965,52.499847,1465708,30.00009
2.0,7.000025,10.0,18318.0,4.035268,17.500036,481388,30.000051
5.0,17.500185,25.0,21855.0,10.002926,43.750114,1114202,29.999924
1.0,5.0001597,5.0,30996.0,2.0089025,12.500143,421925,30.000017
7.0,24.50014,35.0,40265.0,14.00053,61.250187,1633779,30.00009
2.0,7.000025,10.0,17453.0,3.9971917,17.500036,478912,30.000051
10.0,34.999863,50.0,46811.0,19.999825,87.4999,2220010,30.99976
